ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)	Disease comment	Subunits comment	Complex comment	SWISSPROT organism
38	20S proteasome	Mouse	proteasome	None	O09061;O55234;O70435;P49722;P70195;P99026;Q60692;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1	19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442	MI:0019- coimmunoprecipitation	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus	10436176	Proteasome subunit beta type-1 ;Proteasome subunit beta type-5 ;Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-2 ;Proteasome subunit beta type-7 ;Proteasome subunit beta type-4 ;Proteasome subunit beta type-6 ;Proteasome subunit alpha type-6 ;Proteasome subunit alpha type-4 ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-7 ;Proteasome subunit alpha type-5	Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5	;;;Lmpc3;Mmc14;Lmp3;Lmp19;;;;;;;	None	None	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
39	immunoproteasome	Mouse	20S proteasome; proteasome	None	O09061;O35955;O70435;P28063;P28076;P49722;P99026;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1	19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442	MI:0019- coimmunoprecipitation	GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0019882;GO:0005737;GO:0005634	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus	14.07.11;14.13.01.01;32.01;36.25.16.03.05;70.03;70.10	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus	10436176	Proteasome subunit beta type-1 ;Proteasome subunit beta type-10 ;Proteasome subunit alpha type-3 ;Proteasome subunit beta type-8 ;Proteasome subunit beta type-9 ;Proteasome subunit alpha type-2 ;Proteasome subunit beta type-4 ;Proteasome subunit alpha type-6 ;Proteasome subunit alpha type-4 ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-7 ;Proteasome subunit alpha type-5	Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5	;Lmp10 Mecl1;;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;;;;;;;	None	None	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
40	COP9 signalosome complex (Gps1, Cops1, Cops2, Cops3, Cops4, Cops5, Cops6, Cops7a, Cops8)	Mouse	signalosome; COP9 complex; CSN complex	brain	O35864;O88543;O88544;O88545;P61202;Q8VBV7;Q99LD4;Q9CZ04	26754;26572;26891;26893;12848;108679;209318;26894	MI:0019-coimmunoprecipitation	None	None	None	None	9707402	COP9 signalosome complex subunit 5;COP9 signalosome complex subunit 3;COP9 signalosome complex subunit 4;COP9 signalosome complex subunit 6;COP9 signalosome complex subunit 2;COP9 signalosome complex subunit 8;COP9 signalosome complex subunit 1;COP9 signalosome complex subunit 7a	Cops5;Cops3;Cops4;Cops6;Cops2;Cops8;Gps1;Cops7a	Csn5, Jab1, Kic2;Csn3;Csn4;Csn6;Csn2, Trip15;Csn8;Cops1, Csn1;Csn7a	None	Since the authors did not specify Csn7, we used isoform Csn7a.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
41	Mi-2/NuRD-MTA2 complex	Human	None	None	O94776;O95983;P41182;Q13547;Q9BTC8	9219;53615;604;3065;57504	MI:0019- coimmunoprecipitation	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0030183;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus	15454082	Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;B-cell lymphoma 6 protein ;Histone deacetylase 1;Metastasis-associated protein MTA3	MTA2;MBD3;BCL6;HDAC1;MTA3	MTA1L1 PID;None;BCL5 LAZ3 ZBTB27 ZNF51;RPD3L1;KIAA1266	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
42	CASK-MINT-VELI tripartite complex	Rat	None	brain	O35430;Q62915;Q9Z250	83589;29647;85327	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0006461;GO:0048489;GO:0016079;GO:0007268;GO:0007155;GO:0030054	protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	14.10;20.09.16.09.05;34.03.01;34.07;70.06	assembly of protein complexes;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	9753324	Amyloid beta A4 precursor protein-binding family A member 1;Peripheral plasma membrane protein CASK;Protein lin-7 homolog A	Apba1;Cask;Lin7a	Mint1 X11;None;Mals1 Veli1	None	None	This complex acts as a nucleation site for the assembly of proteins involved in synaptic vesicle exocytosis and synaptic junctions.	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)
43	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant)	Human	None	None	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	MI:0029- cosedimentation through density gradients; MI:0007- anti tag coimmunoprecipitation	GO:0016485;GO:0016485;GO:0051090;GO:0023052;GO:0007219;GO:0005886;GO:0005794	protein processing;protein processing;regulation of sequence-specific DNA binding transcription factor activity;signaling;Notch signaling pathway;plasma membrane;Golgi apparatus	14.07.11;18.02.09;30.01;30.05.02.14;70.02;70.08	protein processing (proteolytic);regulator of transcription factor;cellular signalling;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	12740439	Presenilin-1;Nicastrin;Gamma-secretase subunit APH-1A;Gamma-secretase subunit PEN-2	PSEN1;NCSTN;APH1A;PSENEN	AD3 PS1 PSNL1;KIAA0253;PSF;PEN2	Gamma-secretase is causally implicated in Alzheimer's disease.	None	Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
44	CASK-MINT complex	Mouse	None	brain	B2RUJ5;O70589	319924;12361	MI:0019- coimmunoprecipitation;MI:0096- pull down	GO:0006461;GO:0048489;GO:0016079	protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis	14.10;20.09.16.09.05	assembly of protein complexes;synaptic vesicle exocytosis	9753324	Amyloid beta A4 precursor protein-binding family A member 1;Peripheral plasma membrane protein CASK	Apba1;Cask	Mint1, X11, Lin-10;mLin-2	None	None	The interaction between CASK and Mint1 was resistant to salt concentrations of up to 3 M NaCl, indicating that binding is not purely electrostatic (PMID:9753324).	Mus musculus (Mouse);Mus musculus (Mouse)
45	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant)	Human	None	None	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	MI:0029- cosedimentation through density gradients; MI:0007- anti tag coimmunoprecipitation	GO:0016485;GO:0016485;GO:0051090;GO:0023052;GO:0007219;GO:0005886;GO:0005794	protein processing;protein processing;regulation of sequence-specific DNA binding transcription factor activity;signaling;Notch signaling pathway;plasma membrane;Golgi apparatus	14.07.11;18.02.09;30.01;30.05.02.14;70.02;70.08	protein processing (proteolytic);regulator of transcription factor;cellular signalling;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	15274632	Presenilin-1;Nicastrin;Gamma-secretase subunit APH-1A;Gamma-secretase subunit PEN-2	PSEN1;NCSTN;APH1A;PSENEN	AD3 PS1 PSNL1;KIAA0253;PSF;PEN2	Gamma-secretase is causally implicated in Alzheimer's disease.	None	Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
46	AP2 adaptor complex	Mammalia	None	None	P17427;P62743;P63010;P84092	11772;232910;163;116563	MI:0004- affinity chromatography technologies; MI:0114- x-ray crystallography	GO:0006886;GO:0006605;GO:0015031;GO:0006461;GO:0016192;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;protein complex assembly;vesicle-mediated transport;endocytosis;transport vesicle	14.04;20.01.10;14.10;20.09.07;20.09.18.09.01;70.09	protein targeting, sorting and translocation;protein transport;assembly of protein complexes;vesicular transport (Golgi network, etc.);endocytosis;intracellular transport vesicles	12086608	AP-2 complex subunit alpha-2 ;AP-2 complex subunit sigma ;AP-2 complex subunit beta ;AP-2 complex subunit mu	Ap2a2;Ap2s1;AP2B1;Ap2m1	Adtab;Ap17 Claps2;ADTB2 CLAPB1;	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Rattus norvegicus (Rat)
47	DNA polymerase alpha-primase complex	Mouse	None	None	P20664;P33609;P33610;P33611	19075;18968;19076;18969	MI:0027- cosedimentation	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	8463324	DNA primase small subunit;DNA polymerase alpha catalytic subunit;DNA primase large subunit;DNA polymerase alpha subunit B	Prim1;Pola1;Prim2;Pola2	None;Pola;None;None	None	None	In growing mouse FM3A cells, the transcripts of the four subunits are present throughout the cell cycle and increase slightly prior to the S phase.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
48	RGS7-Gbeta5-Galphaq complex	Mammalia	None	None	O46470;P21279;P62881	281452;14682;14697	MI:0055- fluorescent resonance energy transfer	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	12670932	Regulator of G-protein signaling 7 ;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit beta-5	RGS7;Gnaq;Gnb5	;;	None	For the FRET experiments the authors used murine Gbeta5, bovine RGS7, and murine Galphaq.	None	Bos taurus (Bovine);Mus musculus (Mouse);Mus musculus (Mouse)
49	DNMT3B complex	Human	None	None	O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3	8467;24137;10592;3065;25942;10051;1789	MI:0019- coimmunoprecipitation	GO:0006306;GO:0006265;GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694	DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	10.01.09.01;10.01.09.05;10.03.01.01.11;10.03.04.05;42.10.03;70.10.03	DNA methylation;DNA conformation modification (e.g. chromatin);M phase;chromosome segregation/division;organization of chromosome structure;chromosome	15148359	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Chromosome-associated kinesin KIF4A ;Structural maintenance of chromosomes protein 2 ;Histone deacetylase 1;Paired amphipathic helix protein Sin3a;Structural maintenance of chromosomes protein 4 ;DNA	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B	SNF2H WCRF135;KIF4;CAPE SMC2L1;RPD3L1;None;CAPC SMC4L1;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
50	Rab5 GDP/GTP exchange factor complex	Mouse	None	None	O35551;Q9JM13	54189;56715	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients	GO:0006897	endocytosis	20.09.18.09.01	endocytosis	9323142	Rab GTPase-binding effector protein 1 ;Rab5 GDP/GTP exchange factor	Rabep1;Rabgef1	Rab5ep Rabpt5 Rabpt5a;Rabex5	None	None	This complex is essential for endocytic membrane fusion.	Mus musculus (Mouse);Mus musculus (Mouse)
51	CCT micro-complex	Mouse	None	None	P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318	21454;12469;12468;12461;12464;12465;None;12462	MI:0029- cosedimentation through density gradients	GO:0050821;GO:0006457;GO:0005515;GO:0005524;GO:0005737	protein stabilization;protein folding;protein binding;ATP binding;cytoplasm	14.01;16.01;16.19.03;70.03	protein folding and stabilization;protein binding;ATP binding;cytoplasm	9250675	T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma	Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3	Cct1 Ccta;Cctq;Ccth;Cctb;Cctd;Ccte Kiaa0098;Cct6 Cctz Cctz1;Cctg	None	None	The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. CCT micro-complexes have mol. wts ranging from 120 to 250 kDa and are present in cells at lower abundance (<5%) as compared with intact CCT. Sequence analysis of the TriC subunits was shown in PMID:2377466, PMID:7953530 and PMID:7890169.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
52	CCT complex (chaperonin containing TCP1 complex)	Mouse	TRiC	None	P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318	21454;12469;12468;12461;12464;12465;None;12462	MI:0029- cosedimentation through density gradients; MI:0091- chromatography technologies	GO:0050821;GO:0006457;GO:0005515;GO:0005524;GO:0005737	protein stabilization;protein folding;protein binding;ATP binding;cytoplasm	14.01;16.01;16.19.03;70.03	protein folding and stabilization;protein binding;ATP binding;cytoplasm	9013858	T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma	Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3	Cct1 Ccta;Cctq;Ccth;Cctb;Cctd;Ccte Kiaa0098;Cct6 Cctz Cctz1;Cctg	None	None	The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. The gene product of Cct6b has only been detected in testis, whereas the other Cctz gene, Cctz-1, is expressed in all tissues investigated. Sequence analysis of the TriC subunits was shown in PMID:9013858, PMID:2377466, PMID:7953530 and PMID:7890169.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
53	Gbeta5-rgs7 complex	Rat	None	brain	P49803;P62882	54296;83579	MI:0006- anti bait coimmunoprecipitation	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	10723068	Regulator of G-protein signaling 7 ;Guanine nucleotide-binding protein subunit beta-5	Rgs7;Gnb5	;	None	None	The authors demonstrated the presence of the heterodimeric RGS7/Gb5 complex throughout many areas of the adult rat brain, with a role as yet undefined on the dynamics of typical Gbg-mediated neuronal pathway activation/desensitization mechanisms.	Rattus norvegicus (Rat);Rattus norvegicus (Rat)
54	SIN3 complex	Human	Histone deacetylase complex	None	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3	10284;8819;5928;3065;5931;3066;25942	MI:0004-affinity chromatography technologies	GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0005515;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;protein binding;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;16.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;protein binding;organization of chromosome structure;nucleus	9150135	Histone deacetylase complex subunit SAP18;Histone deacetylase complex subunit SAP30;Histone-binding protein RBBP4;Histone deacetylase 1;Histone-binding protein RBBP7;Histone deacetylase 2;Paired amphipathic helix protein Sin3a	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A	None;None;RBAP48;RPD3L1;RBAP46;None;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
